"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1089","test_hotel_list","test","Wed Nov 20 18:12:45 GMT 2024","passed","Wed Nov 20 18:12:46 GMT 2024","TestHootel","test_hootel","",""
"A belépés tesztelése","1387","Hootel Login","test","Wed Nov 20 18:12:40 GMT 2024","passed","Wed Nov 20 18:12:41 GMT 2024","TestHootel","test_hootel","",""
